,0,1,2,3,4
508,[[9.3849446e-19]],2,0,[[0.73105858]],False
509,[[0.73105858]],2,0,[[2.78946809e-10]],False
510,[[2.78946809e-10]],2,0,[[0.99993622]],False
511,[[0.99993622]],2,0,[[1.]],False
512,[[1.]],2,0,[[1.12023469e-13]],False
513,[[1.12023469e-13]],2,0,[[1.]],False
514,[[1.]],2,0,[[1.04415906e-09]],False
515,[[1.04415906e-09]],2,0,[[0.99996987]],False
516,[[0.99996987]],2,0,[[1.]],False
517,[[1.]],2,0,[[0.29734248]],False
518,[[0.29734248]],2,0,[[1.63457934e-16]],False
519,[[1.63457934e-16]],2,0,[[0.99992515]],False
520,[[0.99992515]],2,0,[[0.94882251]],False
521,[[0.94882251]],2,0,[[4.22686037e-16]],False
